amount,transaction_type,account_age_days,num_transaction_last_24h,avg_transaction_amount_7d,is_international,is_fraud
4805.07,ONLINE,84,1,2862.0,True,0
8878.35,ONLINE,10,2,2625.29,True,1
1590.18,ONLINE,630,2,2530.84,False,1
667.1,ONLINE,101,2,1015.44,False,0
892.64,ONLINE,82,2,1477.0,False,0
1092.85,POS,168,3,677.47,False,0
292.58,ONLINE,65,2,473.48,False,0
4069.04,POS,432,4,924.58,False,1
4279.43,POS,628,1,2370.37,True,0
1274.15,POS,8,3,1110.92,False,0
2228.5,ONLINE,59,3,1719.55,False,0
1824.89,POS,1,3,2483.29,True,1
683.57,POS,79,1,524.43,False,0
2423.6,ONLINE,67,4,1110.51,False,0
7708.33,ONLINE,224,3,2330.2,False,0
377.48,POS,20,4,288.0,False,0
1212.7,POS,95,7,2315.54,False,0
1813.39,POS,296,1,2709.06,False,0
1769.04,ONLINE,46,0,1395.9,False,0
1686.65,ONLINE,128,1,1368.75,False,0
3373.02,ONLINE,74,5,2840.15,False,0
197.84,ONLINE,64,0,997.55,False,1
1378.22,POS,169,3,1607.5,False,0
2968.9,POS,200,3,2332.53,False,0
769.74,POS,180,0,1700.17,True,1
1333.16,POS,160,0,2097.18,False,0
356.6,POS,129,3,834.19,False,0
756.22,ONLINE,75,6,517.73,False,0
145.58,ONLINE,49,6,460.69,False,0
7040.81,ONLINE,31,1,2715.95,False,0
9154.61,ONLINE,19,3,2057.8,False,0
3345.77,POS,70,4,2290.18,False,0
1903.69,ONLINE,82,5,942.57,False,0
814.15,POS,230,0,986.16,False,0
581.99,POS,186,0,695.91,False,0
2476.64,POS,474,6,1398.92,False,0
2020.44,ONLINE,33,2,1759.04,False,0
806.07,ONLINE,829,6,592.24,False,0
3726.9,ONLINE,298,6,2468.32,False,0
39669.04,ONLINE,17,0,1819.18,False,0
2977.2,POS,112,0,1719.4,False,0
688.96,ONLINE,6,1,2503.28,True,0
3656.91,ONLINE,132,1,2355.98,False,0
620.02,ONLINE,136,6,1713.78,True,0
628.59,ONLINE,104,2,419.68,False,0
3473.77,POS,51,6,1737.83,False,0
2462.28,ONLINE,97,0,893.65,False,0
186.67,POS,22,0,328.81,False,0
1033.85,ONLINE,348,2,2170.24,False,1
1254.62,ONLINE,102,2,1315.81,False,0
4951.03,ONLINE,84,2,1952.41,True,0
276.48,ONLINE,185,5,274.23,False,0
4030.5,POS,141,2,2836.1,True,0
230.15,POS,19,2,251.02,False,0
1559.59,POS,69,6,2565.65,False,0
1850.44,POS,249,4,2459.14,False,0
9017.5,POS,480,3,2603.56,False,0
771.19,ONLINE,315,2,1096.14,False,0
590.49,ONLINE,424,4,455.6,True,0
1877.08,ONLINE,71,3,2083.05,False,0
67.85,POS,122,2,361.16,True,1
9613.52,POS,27,2,2332.23,False,0
631.48,POS,217,1,403.74,False,0
2508.15,ONLINE,776,6,1247.96,True,0
3502.39,ONLINE,270,2,1763.53,False,0
314.7,ONLINE,113,1,357.65,False,0
3394.76,ONLINE,188,3,2288.93,False,0
251.27,ONLINE,594,1,234.03,False,0
2450.38,POS,399,5,1677.56,False,0
341.79,POS,416,5,327.25,False,0
3422.77,POS,37,4,1498.36,False,0
582.52,ONLINE,66,6,2478.63,False,0
2650.85,POS,97,4,2811.64,True,0
2040.96,ONLINE,630,3,2557.93,True,0
2632.24,ONLINE,10,5,2621.22,True,1
1969.96,ONLINE,554,3,1897.29,False,0
7195.69,ONLINE,21,5,2080.4,False,1
307.8,ONLINE,25,4,280.59,False,0
295.88,POS,2,5,1181.65,False,0
8302.78,POS,175,4,2614.62,False,0
563.18,POS,110,2,2944.09,False,0
520.1,ONLINE,24,1,558.53,True,0
1289.64,ONLINE,184,3,709.26,True,1
533.37,POS,7,1,673.02,True,0
170.75,ONLINE,16,3,537.78,False,0
1679.94,ONLINE,289,3,1958.12,False,0
1363.37,POS,58,2,2457.36,False,0
1960.15,ONLINE,173,2,1232.96,False,0
2248.27,ONLINE,52,2,2197.38,False,0
1907.58,ONLINE,136,2,878.92,False,0
426.68,ONLINE,69,5,792.05,False,0
1392.15,POS,138,2,1843.16,False,0
2552.38,POS,60,4,1216.63,False,0
4093.97,ONLINE,29,1,888.68,True,1
92.56,POS,60,2,685.45,True,0
4536.67,ONLINE,628,2,2623.42,False,0
14369.09,POS,198,2,2802.25,False,0
5082.84,ONLINE,70,2,1391.22,True,0
405.28,ONLINE,169,2,1008.17,False,0
714.03,ONLINE,73,2,576.36,False,1
2212.3,POS,298,3,912.99,False,0
4682.54,ONLINE,477,4,2525.73,False,0
5790.78,ONLINE,12,2,2275.14,False,0
808.91,POS,32,5,659.94,False,0
832.14,ONLINE,305,3,1429.58,False,0
214.08,ONLINE,413,3,1274.9,False,1
972.26,POS,505,5,1957.58,False,0
650.27,ONLINE,67,1,895.77,False,0
1768.16,ONLINE,151,3,2334.88,False,1
4721.85,POS,91,1,2432.43,False,0
6715.86,POS,230,2,2216.1,False,0
6148.3,ONLINE,36,4,2743.66,False,0
1374.35,POS,158,6,1616.49,False,0
1971.42,POS,154,5,1898.8,False,0
2665.11,POS,754,2,2548.91,False,0
5874.5,POS,73,0,2447.99,False,0
2540.28,POS,73,3,1314.87,True,0
1555.44,POS,45,1,1466.83,False,0
1141.39,ONLINE,124,2,1372.99,False,0
1219.14,POS,196,3,698.5,True,0
934.06,ONLINE,1038,3,1606.15,False,1
340.69,POS,38,2,302.34,False,0
176.21,ONLINE,268,2,1469.21,False,0
6257.02,POS,36,4,2613.0,False,0
1347.05,POS,4,0,637.23,False,0
2342.46,POS,45,1,847.01,False,0
3641.1,POS,19,1,2439.77,False,0
956.91,POS,50,4,2222.35,False,0
3517.53,POS,62,4,2709.74,False,0
681.01,ONLINE,85,3,1852.83,False,0
2229.24,ONLINE,103,2,1024.5,False,0
1674.59,POS,56,2,1716.58,True,0
1054.63,ONLINE,324,1,2956.33,False,0
574.19,ONLINE,442,4,529.7,True,1
283.25,POS,41,4,230.79,False,0
3628.16,POS,86,0,1652.97,False,0
2631.74,ONLINE,32,2,2266.49,False,0
1209.48,POS,79,5,2213.33,False,0
467.13,ONLINE,43,1,287.31,False,0
336.91,ONLINE,163,2,1135.88,False,0
961.28,POS,234,4,1587.38,True,0
5161.27,ONLINE,160,2,1210.73,False,0
1670.14,POS,540,7,1448.82,False,0
1018.94,POS,45,1,2965.47,False,0
3467.92,ONLINE,220,1,2790.7,False,0
371.82,POS,215,8,1032.58,False,0
366.57,POS,163,1,844.02,False,0
4754.89,ONLINE,68,5,1710.58,False,0
4665.0,POS,4,5,2636.28,False,0
2747.73,ONLINE,177,5,2646.3,True,1
533.41,ONLINE,21,1,1192.94,False,1
1279.36,POS,3,3,2965.62,False,0
2103.55,ONLINE,539,4,2401.77,False,0
438.44,ONLINE,851,4,848.68,False,0
1274.59,POS,34,1,817.36,False,0
1624.99,POS,625,4,2674.6,False,0
405.61,POS,214,3,630.91,False,0
4408.36,ONLINE,17,1,2656.89,False,0
3614.78,POS,395,2,2875.82,True,0
1625.02,POS,94,3,1243.53,False,0
130.49,ONLINE,44,5,2113.12,False,0
1212.71,POS,379,9,2432.79,False,0
1963.95,ONLINE,382,4,2641.16,False,0
515.23,POS,1,5,1003.71,False,0
609.85,POS,272,4,499.55,False,0
7510.05,POS,498,1,2126.08,False,0
91.33,POS,221,1,388.58,False,0
6331.71,ONLINE,369,4,2925.77,False,1
3870.05,POS,4,4,1106.11,False,1
624.43,ONLINE,108,3,658.15,False,0
1701.31,ONLINE,205,4,2032.63,False,0
537.77,ONLINE,744,2,1346.14,True,0
4331.05,ONLINE,5,5,2024.67,False,0
1771.56,POS,335,2,2330.87,False,0
1793.16,ONLINE,456,1,1926.62,False,0
4446.12,POS,208,2,1404.86,True,1
573.71,POS,156,1,953.18,False,0
2881.13,POS,13,5,1298.98,False,0
1251.87,ONLINE,7,3,1545.42,False,0
1279.75,ONLINE,218,0,1767.02,True,0
1353.62,ONLINE,71,0,1649.59,False,0
759.95,ONLINE,14,3,1311.39,False,0
833.9,POS,40,1,668.95,True,0
182.4,ONLINE,495,7,345.52,False,0
1479.41,ONLINE,405,3,1733.26,False,0
2558.47,POS,11,2,891.89,False,0
1737.06,POS,670,4,1143.31,False,0
1851.22,POS,1009,3,2929.42,False,0
2205.81,POS,5,4,921.51,False,0
285.83,ONLINE,790,7,312.31,False,0
6055.97,POS,58,4,1858.58,False,0
8807.7,POS,48,3,2919.91,True,0
242.16,ONLINE,368,2,1446.85,False,0
1113.81,POS,627,3,922.77,False,0
1563.83,POS,630,3,1470.61,False,0
780.72,ONLINE,172,1,2178.98,True,0
1748.77,POS,6,5,2261.93,False,0
1895.16,POS,56,2,359.84,False,0
1259.42,ONLINE,23,1,1466.16,True,1
4240.86,ONLINE,28,1,2962.56,False,0
1787.9,POS,545,3,1989.54,False,0
2532.07,POS,5,4,1062.2,False,0
1238.41,POS,200,8,1442.5,False,0
2535.48,ONLINE,481,3,2130.67,False,0
1113.92,ONLINE,189,5,498.46,False,0
2011.86,POS,198,4,2461.97,False,0
89.91,POS,141,3,216.12,False,0
393.44,POS,48,1,1245.11,False,0
1194.24,ONLINE,166,4,2071.0,False,0
7665.0,ONLINE,75,5,1264.55,False,0
2349.18,ONLINE,227,3,2875.47,False,0
2135.36,ONLINE,19,2,1560.44,False,0
3564.21,POS,292,3,1709.65,False,0
599.85,ONLINE,35,3,2107.13,False,0
904.06,ONLINE,150,2,918.38,False,0
4455.71,ONLINE,180,4,2863.93,False,0
499.41,ONLINE,169,5,1350.88,True,0
841.56,POS,176,4,1464.95,True,0
709.02,POS,18,2,266.19,False,0
5830.18,ONLINE,162,3,1590.95,False,0
3482.84,POS,100,1,2209.27,False,0
9947.78,POS,16,2,2703.73,False,0
214.89,ONLINE,78,5,394.39,False,0
1163.13,ONLINE,70,6,1132.41,False,0
4433.83,ONLINE,148,2,2881.35,False,0
1109.43,ONLINE,107,4,2317.26,False,0
1654.15,POS,91,2,626.76,False,0
624.54,POS,253,3,557.6,False,0
533.23,ONLINE,65,4,936.72,False,0
1357.94,ONLINE,165,6,1643.9,False,0
1994.55,ONLINE,306,1,1265.75,False,0
1108.06,ONLINE,92,5,685.87,True,0
19999.16,POS,356,3,2783.72,False,0
966.74,POS,28,1,1229.1,False,0
4348.3,POS,26,3,2896.72,False,0
2082.33,POS,20,3,1994.31,False,0
1375.39,ONLINE,11,2,2386.13,True,0
827.18,ONLINE,740,1,869.7,False,0
354.01,POS,65,5,482.93,False,0
1596.5,ONLINE,134,3,1393.03,False,0
2096.63,POS,82,1,1359.56,False,0
2840.93,POS,96,0,1547.76,False,0
2540.69,POS,54,1,2328.81,False,0
1198.34,ONLINE,49,3,2932.45,False,0
566.86,POS,142,3,1472.26,False,0
1439.53,ONLINE,90,7,1486.45,False,0
286.6,POS,330,5,307.59,True,0
1296.67,ONLINE,131,3,620.47,False,0
1160.74,POS,15,4,2205.71,True,0
1344.04,POS,34,3,475.51,False,0
6455.9,ONLINE,15,2,2910.01,False,1
1049.12,POS,23,3,1922.04,False,0
7806.97,ONLINE,622,4,2436.4,True,0
3496.58,ONLINE,473,3,828.92,False,0
732.17,ONLINE,515,7,873.94,False,0
1193.63,ONLINE,253,5,1489.51,False,0
3888.99,ONLINE,752,5,2824.69,False,0
964.1,POS,160,5,1623.41,False,0
1262.56,POS,31,4,1492.36,False,0
605.2,POS,37,2,1195.08,False,0
159.51,ONLINE,257,3,298.87,False,0
4459.01,POS,65,6,2654.62,False,0
5461.1,POS,95,2,2147.73,False,0
241.28,POS,185,6,381.59,False,0
3894.91,POS,313,4,1595.12,False,0
841.89,POS,71,1,1415.25,False,0
995.96,POS,164,3,2259.86,False,0
5618.18,ONLINE,329,3,1274.73,False,1
305.96,POS,73,3,273.35,False,0
621.41,ONLINE,371,3,2557.41,False,0
416.41,POS,25,3,425.68,False,0
2390.09,ONLINE,169,3,578.99,False,1
490.51,POS,10,3,990.12,False,0
1225.57,POS,107,1,2374.79,True,0
53.98,ONLINE,6,2,375.43,False,0
5877.22,ONLINE,196,2,2897.5,True,0
1752.71,POS,97,4,928.44,False,0
190.45,ONLINE,77,1,519.47,False,0
5826.74,POS,52,3,2581.72,False,0
14497.56,POS,221,1,1721.91,False,1
463.98,ONLINE,119,3,664.17,False,0
12272.08,POS,129,1,2457.93,False,0
433.16,POS,277,3,763.82,False,0
1770.11,ONLINE,378,5,2662.83,False,0
1602.37,ONLINE,12,2,1499.01,True,0
2560.6,POS,310,4,1265.18,False,0
4701.33,ONLINE,283,3,1817.26,False,0
3719.65,ONLINE,214,5,2421.13,False,0
908.53,POS,40,2,715.83,False,0
4909.1,ONLINE,15,7,2670.77,False,0
3611.83,POS,384,3,1396.97,False,1
20661.6,POS,37,4,2602.9,False,0
1381.42,ONLINE,310,2,1485.94,True,0
418.67,POS,224,1,2512.74,False,0
4275.59,POS,27,6,1174.24,False,1
1617.51,POS,24,2,2093.3,False,1
4151.0,POS,34,4,2596.06,False,0
200.34,POS,43,7,292.93,True,0
959.23,POS,427,4,2078.05,False,0
575.11,ONLINE,677,1,510.02,False,0
4887.25,POS,242,4,2770.61,False,0
1577.29,POS,592,4,2234.68,False,0
1433.38,POS,218,0,1713.96,False,0
789.12,ONLINE,113,3,1043.54,False,0
3843.02,ONLINE,8,3,2728.11,False,0
4978.19,POS,49,0,2424.82,False,0
3159.42,POS,157,2,2987.23,False,0
1172.39,ONLINE,21,7,462.8,True,0
4807.64,POS,102,5,2366.86,False,0
591.19,ONLINE,129,6,491.83,False,0
220.08,POS,180,1,398.61,False,0
339.17,POS,27,3,975.08,False,0
1053.12,ONLINE,169,0,985.91,True,0
253.45,POS,1,0,813.39,False,0
1483.0,POS,20,4,1148.81,True,0
1515.93,POS,172,6,518.75,False,0
308.37,POS,57,7,1304.81,False,0
96.64,POS,182,1,343.18,True,0
1712.14,ONLINE,166,2,2122.45,False,0
1129.06,POS,97,1,2303.3,False,0
7567.11,ONLINE,78,2,2836.83,False,0
6958.0,POS,181,3,2757.2,False,0
154.62,ONLINE,418,0,386.04,False,0
1119.21,POS,98,2,1026.11,True,0
4856.24,ONLINE,23,5,1764.2,False,0
1204.83,POS,65,6,2409.16,False,0
4406.35,POS,157,2,1239.28,False,0
1118.06,POS,101,2,599.26,False,0
648.66,POS,4,1,2008.3,False,0
5532.59,ONLINE,67,2,2095.94,False,0
769.82,POS,796,1,1471.2,False,0
4070.24,POS,126,1,2899.25,True,0
1045.8,ONLINE,5,2,1286.36,False,0
3876.97,ONLINE,561,6,1079.11,False,0
443.66,ONLINE,87,5,1153.08,True,0
835.2,ONLINE,54,1,744.95,False,0
596.5,ONLINE,56,2,2905.97,False,0
2853.97,ONLINE,177,6,1568.91,False,0
2575.06,ONLINE,90,6,310.49,False,0
165.11,ONLINE,281,4,549.5,False,0
7253.95,ONLINE,111,3,2946.76,False,1
1230.66,ONLINE,258,6,1282.31,False,0
4589.14,POS,260,2,1805.88,True,0
1383.38,ONLINE,107,2,1629.21,False,0
4552.3,ONLINE,116,1,2125.62,False,0
5918.01,ONLINE,79,3,2452.42,False,0
1364.94,ONLINE,1103,0,2095.1,False,0
5031.53,POS,241,4,2535.6,False,0
1390.56,ONLINE,261,1,2568.58,False,0
1587.32,POS,94,1,1339.9,False,0
2523.27,POS,21,1,2463.06,True,1
3945.47,ONLINE,124,1,2424.64,True,0
